,digital_tools,work_methods,outstanding_knowledge_community,soft_skills,key,digital_tools_1,digital_tools_2,digital_tools_3,work_methods_1,outstanding_knowledge_community_1,soft_skills_1,soft_skills_2
0,autocad,remote,technology,problem_solving,technology,revit,inventor,maya,in_house,accounting,teamwork,innovation
1,intranet,remote,education,cultural_awareness,services,planner,bloomberg,artificial intelligence software,in_house,management_leadership,empathy,adaptability
2,microsoft azure,remote,marketing_sales,assertive_communication,technology,microsoft 365,windows,visual studio,in_house,technology,teamwork,problem_solving
3,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
4,webex,remote,customer_service,assertive_communication,food_and_beverages,sharepoint,microsoft dynamics,hubspot,in_house,marketing_sales,teamwork,problem_solving
5,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
6,gset,remote,finance,empathy,financial,marquee,aladdin,research platforms,in_house,management_leadership,problem_solving,teamwork
7,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
8,pos,remote,finance,emotional_intelligence,social_security,revit,teams,oracle,in_house,education,innovation,integrity
9,autocad,remote,finance,empathy,electrical,matlab,google workspace,salesforce,in_house,technology,collaboration,problem_solving
10,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
11,microsoft office,remote,technology,critical_thinking,technology,adobe creative suite,salesforce,sap,in_house,finance,problem_solving,assertive_communication
12,microsoft office suite,remote,finance,critical_thinking,financial,bloomberg,reuters,salesforce,in_house,accounting,assertive_communication,teamwork
13,adobe creative suite,remote,finance,flexibility,financial,salesforce,workday,slack,in_house,accounting,adaptability,time_management
14,erp,remote,education,cultural_awareness,health,oracle,aladdin,google cloud platform,in_house,"[""a""]",empathy,innovation
15,plataforma interacpedia,remote,management_leadership,empathy,agriculture,autodesk,reuters,acrobat,in_house,finance,empathy,focus
16,plataforma interacpedia,in_house,technology,teamwork,education,planner,teams,intercom,virtual,work_methods,communication,ease_adaptation
17,intranet,remote,finance,ease_adaptation,food_and_beverages,oracle,oracle,cocoa touch,in_house,"[""a""]",adaptability,assertive_communication
18,asset management systems,remote,management_leadership,"[""a""]",paper_and_cardboard,oracle,teams,artificial intelligence software,in_house,management_leadership,innovation,ease_adaptation
